product_id,category,subcategory,price,discount_percent,color,size,fabric,season,sales_count,rating
P1125,Jeans,Skinny,â¹612.55,5,RED,Small,Georgette,Summer,302,1.1
P1287,Kurti,Straight,2774.1,5,Maroon,40,Linen,Winter,229,4.2
P1142,Dress,Evening,â¹3641.63,5,Navy,Large,Cotton,Summer,194,
P1373,Saree,Designer,1690.34,15,Black,Small,Linen,Summer,282,3.5
P1023,Saree,Designer,1365.3,,Navy,L,Cotton,Winter,443,2.1
P1107,Jeans,Regular,â¹1231.94,,Navy Blue,Small,Georgette,Winter,273,1.7
P1352,Shirt,Casual,"4,952",20,Navy,Large,Cotton,Winter,420,
P1467,Saree,Cotton,1704.83,20,Maroon,Large,Silk,Festive,202,3.6
P1287,Kurti,Anarkali,"1,128",20,Navy Blue,,Linen,Festive,185,5
P1440,T-Shirt,V-Neck,909.09,0,RED,M,Linen,Summer,197,5
P1348,T-Shirt,V-Neck,4869.85,,red,40,Polyester,Spring,57,1.6
P1497,Dress,Party,â¹4441.34,20,Crimson,M,Georgette,Summer,445,4.4
P1276,T-Shirt,Round Neck,1187.78,20,Red,,Polyester,Festive,9,2.5
P1484,Saree,Silk,760,0,red,38,Cotton,Winter,65,4.8
P1216,Kurti,Anarkali,"2,874",5,Black,Medium,Polyester,Festive,343,2.8
P1032,T-Shirt,V-Neck,1044.52,10,Red,,Georgette,Winter,301,1.3
P1440,Jeans,Skinny,1530.24,10,red,40,Silk,Spring,342,3.2
P1401,Jeans,Slim,3092.95,15,Crimson,XL,Silk,Summer,49,2.4
P1344,Shirt,Casual,4387.27,,White,Small,Cotton,Festive,372,4.4
P1071,Kurti,Straight,â¹1355.94,15,RED,L,Linen,Winter,447,2.8
P1428,T-Shirt,Round Neck,727,0,red,Medium,Silk,Festive,248,4.5
P1135,Dress,Evening,â¹2205.38,15,Navy Blue,XL,Georgette,Festive,79,1.9
P1382,Dress,Party,3810.82,10,Red,S,Georgette,Festive,257,3.1
P1035,Dress,Party,860.5,20,red,Medium,Linen,Summer,482,2
P1336,T-Shirt,Round Neck,â¹3287.22,20,WHITE,40,Polyester,Spring,104,2.3
